GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|54|Professional, scientific, and technical services|541213|Tax return preparation services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|809||875410||40.1||371589||145676||91029|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541213|Tax return preparation services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|951||933636||42.7||391616||151239||92766|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541214|Payroll services|T|Taxable establishments|1997|Reference year 1997|003|All firms|2709||14113017||100||7598085||1695658||316425|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541214|Payroll services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|434||8187031||58||3651492||800598||146912|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541214|Payroll services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|475||9666512||68.5||4427161||985604||170464|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541214|Payroll services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|494||10980727||77.8||5317907||1173967||207142|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541214|Payroll services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|568||11846812||83.9||5972571||1331362||230918|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541219|Other accounting services|T|Taxable establishments|1997|Reference year 1997|003|All firms|28322||6218823||100||2578549||605343||113070|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541219|Other accounting services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|32||451405||7.3||145086||35741||3739|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541219|Other accounting services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|36||637893||10.3||180656||45119||4581|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541219|Other accounting services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|117||877630||14.1||299389||75096||7583|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541219|Other accounting services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|238||1164885||18.7||448668||106330||11741|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5413|Architectural, engineering, & related services|T|Taxable establishments|1997|Reference year 1997|003|All firms|92710||116986061||100||46942816||10593413||1038317|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5413|Architectural, engineering, & related services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|93||9434112||8.1||2476570||597812||40107|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5413|Architectural, engineering, & related services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|227||14175741||12.1||4174828||990495||73194|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5413|Architectural, engineering, & related services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|746||22145143||18.9||6737452||1635865||119187|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5413|Architectural, engineering, & related services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|1692||30928043||26.4||10241831||2485485||184370|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54131|Architectural services|T|Taxable establishments|1997|Reference year 1997|003|All firms|20602||16988338||100||6468524||1357068||146702|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54131|Architectural services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|28||893512||5.3||293359||69711||4820|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54131|Architectural services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|50||1271929||7.5||399645||89998||6650|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54131|Architectural services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|115||1892188||11.1||654061||150772||11596|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54131|Architectural services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|201||2797583||16.5||1026536||231221||18878|
