GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|22|Utilities|2212103|Mixed, manufactured, or LP gas pro &/or dist (natural gas dist)|1997|Reference year 1997|850|50 largest firms|68||0|D|0|D|0|D|0|D|0|g
01000US|United States|1|United States|22|Utilities|2212104|Electric & other services combined (natural gas distribution)|1997|Reference year 1997|003|All firms|145||28110297||100||412733||104745||6704|
01000US|United States|1|United States|22|Utilities|2212104|Electric & other services combined (natural gas distribution)|1997|Reference year 1997|804|4 largest firms|38||21832485||77.7||265389||65788||4006|
01000US|United States|1|United States|22|Utilities|2212104|Electric & other services combined (natural gas distribution)|1997|Reference year 1997|808|8 largest firms|42||26804449||95.4||299027||72874||4419|
01000US|United States|1|United States|22|Utilities|2212104|Electric & other services combined (natural gas distribution)|1997|Reference year 1997|820|20 largest firms|145||28110297||100||412733||104745||6704|
01000US|United States|1|United States|22|Utilities|2212104|Electric & other services combined (natural gas distribution)|1997|Reference year 1997|850|50 largest firms|145||28110297||100||412733||104745||6704|
01000US|United States|1|United States|22|Utilities|2212105|Gas & other services combined (natural gas distribution)|1997|Reference year 1997|003|All firms|119||2852525||100||148697||41810||3117|
01000US|United States|1|United States|22|Utilities|2212105|Gas & other services combined (natural gas distribution)|1997|Reference year 1997|804|4 largest firms|35||1804145||63.2||50742||15078||986|
01000US|United States|1|United States|22|Utilities|2212105|Gas & other services combined (natural gas distribution)|1997|Reference year 1997|808|8 largest firms|58||2366295||83||108773||31874||2089|
01000US|United States|1|United States|22|Utilities|2212105|Gas & other services combined (natural gas distribution)|1997|Reference year 1997|820|20 largest firms|77||2781917||97.5||135693||38646||2721|
01000US|United States|1|United States|22|Utilities|2212105|Gas & other services combined (natural gas distribution)|1997|Reference year 1997|850|50 largest firms|110||2851379||100||147765||41600||3081|
01000US|United States|1|United States|22|Utilities|2213|Water, sewage, & other systems|1997|Reference year 1997|003|All firms|4831||5622732||100||1045370||257912||35300|
01000US|United States|1|United States|22|Utilities|2213|Water, sewage, & other systems|1997|Reference year 1997|804|4 largest firms|135||1653747||29.4||256640||66435||5766|
01000US|United States|1|United States|22|Utilities|2213|Water, sewage, & other systems|1997|Reference year 1997|808|8 largest firms|276||2253879||40.1||368327||95945||9063|
01000US|United States|1|United States|22|Utilities|2213|Water, sewage, & other systems|1997|Reference year 1997|820|20 largest firms|363||3120899||55.5||534826||137532||13196|
01000US|United States|1|United States|22|Utilities|2213|Water, sewage, & other systems|1997|Reference year 1997|850|50 largest firms|432||3745338||66.6||646578||165236||15951|
01000US|United States|1|United States|22|Utilities|22131|Water supply & irrigation systems|1997|Reference year 1997|003|All firms|4052||4453835||100||825408||203319||27933|
01000US|United States|1|United States|22|Utilities|22131|Water supply & irrigation systems|1997|Reference year 1997|804|4 largest firms|122||1623140||36.4||260782||68802||6152|
01000US|United States|1|United States|22|Utilities|22131|Water supply & irrigation systems|1997|Reference year 1997|808|8 largest firms|180||2117125||47.5||335540||87301||7708|
01000US|United States|1|United States|22|Utilities|22131|Water supply & irrigation systems|1997|Reference year 1997|820|20 largest firms|247||2802086||62.9||481375||123718||11221|
01000US|United States|1|United States|22|Utilities|22131|Water supply & irrigation systems|1997|Reference year 1997|850|50 largest firms|300||3147040||70.7||549824||139874||13134|
01000US|United States|1|United States|22|Utilities|221310|Water supply & irrigation systems|1997|Reference year 1997|003|All firms|4052||4453835||100||825408||203319||27933|
01000US|United States|1|United States|22|Utilities|221310|Water supply & irrigation systems|1997|Reference year 1997|804|4 largest firms|122||1623140||36.4||260782||68802||6152|
