GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|OPTYPE|OPTYPE_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42121|Furniture whsle|1997|Reference year 1997|850|50 largest firms|292||11053110||34.7||557845||133596||11360|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421210|Furniture whsle|1997|Reference year 1997|003|All firms|6697||31898583||100||2415323||555931||65930|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421210|Furniture whsle|1997|Reference year 1997|804|4 largest firms|79||4864968||15.3||110682||27481||1801|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421210|Furniture whsle|1997|Reference year 1997|808|8 largest firms|112||6461463||20.3||201559||49236||3820|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421210|Furniture whsle|1997|Reference year 1997|820|20 largest firms|188||8493785||26.6||315448||77425||6154|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421210|Furniture whsle|1997|Reference year 1997|850|50 largest firms|292||11053110||34.7||557845||133596||11360|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212101|Household & lawn furniture whsle|1997|Reference year 1997|003|All firms|3304||12079496||100||698636||166690||23346|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212101|Household & lawn furniture whsle|1997|Reference year 1997|804|4 largest firms|5||1284991||10.6||24359||5866||309|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212101|Household & lawn furniture whsle|1997|Reference year 1997|808|8 largest firms|40||1753643||14.5||52758||15389||943|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212101|Household & lawn furniture whsle|1997|Reference year 1997|820|20 largest firms|76||2688794||22.3||93147||25335||2240|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212101|Household & lawn furniture whsle|1997|Reference year 1997|850|50 largest firms|110||3974817||32.9||157071||42063||3951|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212102|Office & business furniture whsle|1997|Reference year 1997|003|All firms|3393||19819087||100||1716687||389241||42584|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212102|Office & business furniture whsle|1997|Reference year 1997|804|4 largest firms|98||4783039||24.1||113427||28400||1912|
