year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1988,e) 100 to 499,64264,237745,12420907,12237826,24694,10.603,14995,6.439,2298940,742784,1556156,6.070,18.786,1930741,558389,1372352,4.563,15.777,368199,3.009,31.554,780,2167,277995
1988,f) 500 to 999,7538,75399,4513986,4450270,8454,11.447,5359,7.256,774851,267878,506973,6.019,17.411,650489,195111,455378,4.384,14.617,124362,2.794,29.234,36,197,49706
1988,g) 1000 to 2499,4765,92448,6118978,5985992,11717,13.053,6346,7.070,1006815,390501,616314,6.524,16.820,737895,249115,488780,4.162,12.327,268920,4.492,24.654,18,153,51593
1988,h) 2500 to 4999,1841,76616,4289470,4224099,8466,11.180,6685,8.828,674764,282310,392454,6.683,15.974,542914,192579,350335,4.559,12.853,131850,3.121,25.706,3,119,20790
1988,i) 5000 to 9999,1093,78807,4614137,4603568,8492,10.869,7142,9.141,715986,261048,454938,5.671,15.553,695747,232642,463105,5.054,15.113,20239,0.440,30.226,D,D,D
1988,j) 10000+,986,326116,20629515,20496686,35410,11.005,26722,8.305,2845383,953820,1891563,4.654,13.882,2587258,786233,1801025,3.836,12.623,258125,1.259,25.246,0,0,0
1989,a) 1 to 4,2518602,2526959,6126132,5987724,529755,21.264,458452,18.402,2135364,1406903,728461,23.496,35.662,1856950,1186911,670039,19.822,31.013,278414,4.650,62.025,373208,375377,995652
1989,b) 5 to 9,865757,887827,6214051,6109029,45264,5.114,39747,4.491,1416153,549122,867031,8.989,23.181,1206920,489808,717112,8.018,19.756,209233,3.425,39.513,32375,34395,430151
1989,c) 10 to 19,512358,557688,7330123,7200521,22355,4.016,20203,3.630,1470171,474358,995813,6.588,20.418,1210736,442141,768595,6.140,16.815,259435,3.603,33.629,14366,16810,387987
1989,d) 20 to 99,415624,572103,16997782,16656123,30045,5.286,22720,3.997,3119987,888536,2231451,5.335,18.732,2437229,831873,1605356,4.994,14.633,682758,4.099,29.265,8821,12268,640138
1989,e) 100 to 499,66783,245284,12955867,12669614,21891,9.042,15525,6.413,2269466,651218,1618248,5.140,17.913,1694784,525449,1169335,4.147,13.377,574682,4.536,26.754,697,2465,233890
1989,f) 500 to 999,7759,79086,4653741,4559300,8338,10.768,5027,6.492,720173,230221,489952,5.049,15.796,529135,156830,372305,3.440,11.606,191038,4.190,23.211,24,287,33479
1989,g) 1000 to 2499,5054,97702,6432909,6296531,10703,11.211,6236,6.532,943016,302894,640122,4.810,14.977,674279,207388,466891,3.294,10.709,268737,4.268,21.417,17,149,46456
1989,h) 2500 to 4999,1944,82310,4621777,4537278,8118,10.028,5405,6.677,680116,243140,436976,5.359,14.990,511568,162678,348890,3.585,11.275,168548,3.715,22.550,3,3,18150
1989,i) 5000 to 9999,1121,84370,4760824,4712145,6919,8.227,6374,7.579,685876,226698,459178,4.811,14.555,583657,181061,402596,3.842,12.386,102219,2.169,24.772,0,0,0
1989,j) 10000+,1050,337829,21238361,21139632,40057,11.979,33194,9.927,2825750,964324,1861426,4.562,13.367,2656521,802095,1854426,3.794,12.567,169229,0.801,25.133,0,0,0
1990,a) 1 to 4,2540665,2549149,6181515,6052476,523994,20.813,460948,18.309,2130016,1393881,736135,23.030,35.192,1871744,1192454,679290,19.702,30.925,258272,4.267,61.851,377086,379756,1007727
1990,b) 5 to 9,880807,903706,6288031,6214562,43730,4.848,40265,4.464,1396249,528372,867877,8.502,22.467,1250214,494048,756166,7.950,20.117,146035,2.350,40.235,32865,35057,436227
1990,c) 10 to 19,523698,568872,7448091,7359620,21759,3.831,19942,3.511,1449757,463029,986728,6.291,19.699,1273542,448009,825533,6.087,17.304,176215,2.394,34.609,14845,16938,399455
1990,d) 20 to 99,428328,585753,17330374,17114406,28206,4.847,20665,3.551,2961836,852037,2109799,4.978,17.306,2531354,752633,1778721,4.398,14.791,430482,2.515,29.582,8373,11167,601016
1990,e) 100 to 499,69015,254169,13249283,13096531,20310,8.083,14504,5.772,2067035,611445,1455590,4.669,15.783,1762525,478503,1284022,3.654,13.458,304510,2.325,26.916,708,1912,237554
1990,f) 500 to 999,7976,83171,4796885,4723156,9309,11.477,5189,6.397,692000,213767,478233,4.526,14.651,543638,132839,410799,2.813,11.510,148362,3.141,23.020,15,41,20216
1990,g) 1000 to 2499,5113,103243,6609474,6544146,9444,9.285,6385,6.277,850531,284363,566168,4.345,12.997,720273,173032,547241,2.644,11.006,130258,1.990,22.013,5,5,12215
1990,h) 2500 to 4999,1948,84032,4798022,4724299,8730,10.621,5061,6.157,629404,222506,406898,4.710,13.323,481349,123358,357991,2.611,10.189,148055,3.134,20.378,D,D,D
1990,i) 5000 to 9999,1115,87726,4891178,4808212,6589,7.563,5380,6.175,683884,218077,465807,4.536,14.223,519593,126514,393079,2.631,10.806,164291,3.417,21.613,0,0,0
1990,j) 10000+,1079,350277,22077605,21948595,28814,8.276,24552,7.052,2647632,784927,1862705,3.576,12.063,2384964,643464,1741500,2.932,10.866,262668,1.197,21.732,0,0,0
1991,a) 1 to 4,2527081,2536228,6020097,6073734,481128,18.961,483553,19.057,1916839,1254024,662815,20.647,31.559,2025775,1256734,769041,20.691,33.353,-108936,-1.794,63.119,389592,392267,1048013
